cell_line	accession	rna_type	lab	file_accession	file_format	output_type	assembly	genome_annotation	biological_replicates	preferred_default	file_url
SJSA1	ENCSR880EGO	total RNA-seq	Thomas Gingeras, CSHL	ENCFF599YDS	tsv	gene quantifications	hg19	V19	2	False	https://www.encodeproject.org/files/ENCFF599YDS/@@download/ENCFF599YDS.tsv
SJSA1	ENCSR880EGO	total RNA-seq	Thomas Gingeras, CSHL	ENCFF435GRI	tsv	gene quantifications	hg19	V19	1	True	https://www.encodeproject.org/files/ENCFF435GRI/@@download/ENCFF435GRI.tsv
SJSA1	ENCSR880EGO	total RNA-seq	Thomas Gingeras, CSHL	ENCFF457WQQ	tsv	gene quantifications	GRCh38	V24	1	True	https://www.encodeproject.org/files/ENCFF457WQQ/@@download/ENCFF457WQQ.tsv
SJSA1	ENCSR880EGO	total RNA-seq	Thomas Gingeras, CSHL	ENCFF272MYR	tsv	gene quantifications	GRCh38	V24	2	False	https://www.encodeproject.org/files/ENCFF272MYR/@@download/ENCFF272MYR.tsv
SJSA1	ENCSR880EGO	total RNA-seq	Thomas Gingeras, CSHL	ENCFF876WYO	tsv	gene quantifications	GRCh38	V29	2	False	https://www.encodeproject.org/files/ENCFF876WYO/@@download/ENCFF876WYO.tsv
SJSA1	ENCSR880EGO	total RNA-seq	Thomas Gingeras, CSHL	ENCFF588OXD	tsv	gene quantifications	GRCh38	V29	1	True	https://www.encodeproject.org/files/ENCFF588OXD/@@download/ENCFF588OXD.tsv
MG63	ENCSR971KNW	total RNA-seq	Thomas Gingeras, CSHL	ENCFF452FRR	tsv	gene quantifications	hg19	V19	2	True	https://www.encodeproject.org/files/ENCFF452FRR/@@download/ENCFF452FRR.tsv
MG63	ENCSR971KNW	total RNA-seq	Thomas Gingeras, CSHL	ENCFF565OUH	tsv	gene quantifications	hg19	V19	1	False	https://www.encodeproject.org/files/ENCFF565OUH/@@download/ENCFF565OUH.tsv
MG63	ENCSR971KNW	total RNA-seq	Thomas Gingeras, CSHL	ENCFF843DLE	tsv	gene quantifications	GRCh38	V24	1	False	https://www.encodeproject.org/files/ENCFF843DLE/@@download/ENCFF843DLE.tsv
MG63	ENCSR971KNW	total RNA-seq	Thomas Gingeras, CSHL	ENCFF594FTI	tsv	gene quantifications	GRCh38	V24	2	True	https://www.encodeproject.org/files/ENCFF594FTI/@@download/ENCFF594FTI.tsv
